ConversationID,Q,A,SecondBestAnswer,ThirdBestAnswer,FourthBestAnswer,FifthBestAnswer,SixthBestAnswer
3,What's your favorite book?,"My favorite book is probably ""Bargaining for advantage"" by... hum.. I'm bad with names so I won't remember that. But it is basically a book that talks about how to protect your interests when you talk to somebody while still leaving the other person happy. So basically getting what you want while actually satisfying the other person as well and building relationships.",,,,,
3,"Is it not like ""the art of the deal""... that Trump book?",It could be but I feel like the Trump book could be more about tricks things. You know this book is more about it's more psychology based so that you actually understand why you're doing so that you don't have one set way of acting in a specific situation but so that you can tailor any moment to anything just based on understanding what the other people are feeling and what you want.,,,,,
3,What would you study?,I'm a music major and economics minor.,I study music and economics. I'm a music major economics minor and in music I do mostly composition and sound engineering.,,,,
3,I think I was the one bothering you about the music at the students session. So you're a graduating student?,Yes I'm a senior now. I'm working on my capstone.,I've been here for four years. This is my senior year.,,,,
3,What instrument do you like? What instruments? Do you sing?,"I play the piano and a little bit of ukulele and cello and I've been playing flute for a year. I do sing but mostly in music I am... I consider myself a composer and a sound engineer as well so making both songs, lyrics and music, and making music for film.",,,,,
3,"I see you already talked about your capstone, so I might ask you about something else.",You can ask me about my capstone.,"So my capstone ... I started my capstone since the beginning of fall and it is... it will be about combining Romanian music with Dubstep music, composing both and combining them.",,,,
3,"Yeah, I'm actually curious. What Are you doing?",So my capstone will be about me composing a piece of music that combines elements of Romanian Folk Music and Dubstep.,So my capstone ... I started my capstone since the beginning of fall and it is... it will be about combining Romanian music with Dubstep music composing both and combining them.,,,,
3,"Wow, OK. Romania I guess is close to Moldova?",Moldova borders Romania and Ukraine. And Moldova... We used to be part of Romania before it was also colonized by Russia and then we got united back to Romania and then was kind of the Soviet Union. So now we do speak both Romanian and Russian.,Moldova's borders are Romania and Ukraine and sandwiched. It's landlocked.,,,,
3,Ok. Those are the two main languages there.,Exactly.,Yes.,,,,
3,I really like that ... one Song .. is it Romanian Folk Song? Is it The Bartok?,Oh yeah.,,,,,
3,OK... What Else can I ask you about?,You can ask me about my favorite food or my friends or my family.,So you can ask me about my family or my career plans or the sports that I like or anything.,"You can ask me about my passions, my family, my career plans... Anything.",,,
3,OK. What's your favorite food?,"I think my favorite food is... hum... I like smoothies. That's not really favorite food. I can eat anything. I've actually been recently thinking of how to eat a balanced diet so whatever I take from the dining hall is going to be 25 percent carbs, 25 percent protein and 50 percent veggies.",Do you mean if I like Arabic food or the NYUAD food?,,,,
3,How do you measure?,It is by eye. You see the proportion of food on the plate.,,,,,
3,Do they mark everything?,They don't.,,,,,
3,"So, OK, tell me about your family. How many s.. Do you have siblings?","Sooo... my family consists of four people. Me, my mom, my dad, and an older brother. And yes I have a sibling. He's five years older than me and he is a computer scientist and he is still in Moldova.","So my family consists of four people. It's my mom, my dad and my brother. My brother is five years older and he is a computer scientist and he's in Moldova right now.",,,,
3,Is he married?,My brother?,My brother isn't married yet. He has a girlfriend for about two years. Let's see what happens.,,,,
3,Yeah. Do you have like... little nephews and nieces..?,My brother isn't married yet. He has a girlfriend for about two years. Let's see what has happens.,,,,,
3,How's like in Moldova in terms of family? Like do you have a lot of cousins?,I feel like the previous generations would have way more kids. I have some cousins not that many because they're all older than me so it doesn't... I don't see them that much. But the families are quite conservative still.,,,,,
3,"Conservative you mean... Conservatism like big size, kind of like marry early? What do you mean conservative?","I would say a bit less conservative than that. Conservative in a way that you have to marry. Basically the goal of life. Maybe you can marry later on, depends on the family again. My family for example is encouraging me to first work on my career and then marry, but they definitely want me to marry and I have a little bit more of a liberal view of thinking, you know, that my goal in life is to be of use to the world and find happiness for myself and not necessarily marry, and marriage would be just a great bonus if it works out. But the family does not understand that, they'll be very sad if I don't get married.",,,,,
3,Are you religious?,I used to be. My family is religious. They are Christian Orthodox and all of them still believe and I am departed of this since I was 13. I am a little bit more agnostic as I'm sure there's some bigger.. Higher being. There's something we don't understand. But I just disagree. I refuse to believe in religious books because I believe that's just people who wrote them.,,,,,
3,What happened when you were 13 that made you...,Puberty! Hu.. I had some friends who were also kind of going through the same stage. I was going I was in a class with a lot of progressive students. They were quite smart. We were tested when we were young... were selected.,,,,,
3,OK. Did you went to a special school?,"Of course. So those are two questions - do I think I would ever go back? Maybe of course that's always a possibility. If I discover a religion that I feel very close to. Cause right now I kind of describe myself as an optimistic nihilist. Like ""nothing matters!"" But I'm happy about that! But you can do anything cause in the end.. You know what I mean. But I also, hum... I do pray sometimes if I feel like it or sometimes if I visit a church or a mosque I feel so at peace. I love all those rituals I feel I feel there is something in it. I just don't believe that it's word for word what books say you know what I mean?",Sure!,Yes.,,,
3,Do you ever think that you might go back to being or do you practice any sort of religious rituals or things like that?,"Of course. So those are two questions - do I think I would ever go back? Maybe of course that's always a possibility. If I discover a religion that I feel very close to. Cause right now I kind of describe myself as an optimistic nihilist. Like ""nothing matters!"" But I'm happy about that! But you can do anything cause in the end.. You know what I mean. But I also, hum... I do pray sometimes if I feel like it or sometimes if I visit a church or a mosque I feel so at peace. I love all those rituals I feel I feel there is something in it. I just don't believe that is word for word what books say you know what I mean?",,,,,
3,"Yes, absolutely. Most people back home are Orthodox?","We do have mostly Christian Orthodox but there's also Protestants and Seventh Day Adventists and there is ... There's some, Yes. We don't really have Muslims. We don't have Buddhism, we don't have Hindu, we don't have much of that. And not even many Catholics. Just like Christian Orthodox, some Protestants.",,,,,
3,"OK. What do you want to do after you're finished? Do you wanna go back... Well, yeah.",When I'm finished with what?,"After I graduate. I have many different plans, either to continue my studies at grad school and get my masters degree or go into consulting or get a job in the music industry, hopefully composition and technology.","I'm planning to go to grad school in New York, with the only grad school I'm applying and I do not see my future in Moldova. I see myself maybe passing through from time to time to see my family and friends but I would rather bring my family my small family of four people with me abroad than have to come back home.",,,
3,With the university. What would you want to after you finish with the university?,"I am thinking to either go to grad school, do a master's degree or get a job in consulting or get a job in the music industry as a composer or sound engineer.","After I graduate. I have many different plans, either to continue my studies at grad school and get my masters degree or go into consulting or get a job in the music industry, hopefully composition and technology.","I'm planning to go to grad school in New York, with the only grad school I'm applying and I do not see my future in Moldova. I see myself maybe passing through from time to time to see my family and friends but I would rather bring my family my small family of four people with me abroad than have to come back home.",,,
3,Is there a specific place you want to be afterwards?,I would rather not answer that question because I am a bit superstitious about things. If I say the exact city of my plans. But if that works out I'll let you know for sure. I don't even tell my closest friends sometimes.,My favorite place ever is New York. I just see myself there in the future but I never actually think of myself as finding one place and living there all my life. I feel like I would never be able to live more than 10 years in the same place though.,"New York was definitely my most favorite place on earth and that's why I hope that in the future I'll be able to go back but I will have to sort out the visa issue and all that because I have... hum, I am a citizen of Moldova which is not the European Union so it will be tough to get a visa.",,,
3,What else can I ask you?,You can ask me about sports that I like. Or you can ask me about...,"You can ask me about my passions, my family, my career plans... Anything.",You can ask me about my family or about my passions. Anything you want.,,,
3,Do you have another passion that's other than music?,"I feel like you could say doodling. I dodle, I make intricate drawings. I am also very into mathematics. I didn't do much of it in college, but I was always good at it and I loved it so I'm kind of sad. And I also love people. I feel like maybe I have some interpersonal skills that have to be utilized. But I really love socializing.",I love drawing sometimes but abstract basically that link. I loved volleyball and biking a lot and I am very interested in negotiation as a science and the aspects of communication.,,,,
3,"OK, hum...",What about you?,No Worries. Take your time.,,,,
3,Are you allowed to ask me questions?,What's my passion? I don't know.. I like Language.,,,,,
3,I like languages as well. How many languages do you speak?,I speak five languages.,I speak five languages. So my first language is Romanian and Russian. And then I learned French and English at school and recently I learned Spanish.,,,,
3,French I'm guessing.,Yes.,Mmh my school... I went to a francophone school which means that everything was taught in French. That was an experiment that started the year I had to go to school. My parents decided to try it out. So we had to be tested to know if we really will be able to handle it. And so many of the students as well were going through the stage or they were questioning religion as well. And that kind of affected me too. But I was always a rebel.,"I speak Romanian, Russian, French, Spanish and English.",,,
3,And...?,"I speak Romanian, Russian, French, Spanish and English.",,,,,
3,OK. How did you learn Spanish?,I was studying abroad in Buenos Aires on my third semester and Spanish is quite close to the Romanian roots. It's a Latin language. So I picked it up while living with people who don't speak English at all. And I improved with Duolingo and my classes. So I learned it that semester.,,,,,
3,Is it true that for example - I guess this would apply to Romanians or maybe. But is it true that you guys can understand Italian but Italians can't understand you?,"Not necessarily. We... We do find many similarities in the language. I do recognize parts of the sentence, but it's not like I can understand what they're saying. They're still different languages, but I can kind of get a feeling of what they're talking about.",,,,,
3,"OK, interesting.",Same as this. As somebody tried to tell me something in Chinese then I would not have even a feeling neither from information niether from body language neither... But here everything is like I have a hint at everything.,Oh yeah.,,,,
3,So have you traveled a lot?,"After becoming a student at NYUAD, yes. I've traveled quite a bit.",,,,,
3,What are some of your favorite places?,My favorite place ever is New York. I hope to get back there at some point. I just love how vibrant the city is and there's always something to do and people are not overly polite. But they're not even as rude as people say. Like if you like Eastern Europe is way colder as a person than people in New York I feel it's the best mix of politeness and leaving you alone.,"New York was definitely my most favorite place on earth and that's why I hope that in the future I'll be able to go back but I will have to sort out the visa issue and all that because I have... hum, I am a citizen of Moldova which is not the European Union so it will be tough to get a visa.","I feel like New York is very vibrant. Everything is happening there. It's the hub of music, both the music industry and the finance world. Exactly and just I love the architecture. It's very it's quite futuristic even though some people might say it's dirty in some places but I love that it's always awake and people aren't overly polite nor actually overly rude because Eastern Europeans are quite cold in general. So I felt like it was a great balance. And there are many many people and so many diverse people and languages and so many cultures.",,,
3,Have you ever been to like third world countries?,Hum... Can You give me examples of third world?,Sure!,Yes.,,,
3,I don't know… Have you ever been to non-Western countries?,The thing is Moldova is the poorest country in Europe. So you could say that I am from a hardcore developing country and I lived most of my life there. So my grandma doesn't even have a toilet. You just go behind the house and I'm so comfortable with that. If I was ever to become rich and then lose everything I wouldn't be even close to depressed because I know what it's like to start from nothing. So I'm lucky you could say.,"I'm from Moldova, a small country in Eastern Europe.",,,,
3,"Yeah, that's facinating. So no toilet in your granny house?","Haha! Exactly, you heard me well.",Yes.,,,,
3,Yaah... did you... was there water?,"We installed it like five years ago. Before we would have to gather water from the spring. And now we installed like... We made, we dug a well and put a system that would pump out the water.",,,,,
3,It's the same in my grandma's village.,Yeah? We're so similar!,,,,,
3,"Haha, well, it was very nice meeting you, and talk to you",Thank you! It was nice to talk to you.,Nice to meet you too.,It was so nice to meet you too! Thank you for talking to me!,,,
3,Hopefully we can do this again. OK,OK. Thank so much!,Yes.,,,,
3,Bye!,Goodbye!,,,,,
4,How did you end up here? Why here? Like it's so far away from home.,"So my brother knew another Moldovan friend who is studying here and he was graduating already and I was supposed to find a university for myself. So I talked to him and I found out that there was a full ride scholarship, that actually women are respected here, that Abu Dhabi is safe, that the opportunities of this university are crazy, with all the traveling and the people coming here are high quality, and because it's an American University and I speak English I've decided it's a good fit for me. I always wanted to go abroad for my education.","My brother used to know somebody who went here because they went through the same exchange program and actually my brother wanted to go here first, but my parents were afraid of the situation in the Middle East. As religious Eastern European middle aged parents they did not know that much about the Middle East and they were worried about their kids, but once that guy graduated and it was my time to fly I got to ask him all the questions and I knew that it's safe and it's actually a great place to be so...",,,,
4,Have you always spoken English?,"I started learning English in fifth grade, but I gained most of my English skills from music because I love singing. So I love Western music.",I speak five languages. So my first language is Romanian and Russian. And then I learned French and English at school and recently I learned Spanish.,,,,
4,What are the craziest myths that you've heard before coming here about this country?,"So I think just that as a woman you have to be covered completely, maybe wear hijab. Another myth is that this place is unsafe, politically unstable, while the UAE is one of the safest places in the world. And that everyone is Arab and I would imagine people speak Arabic everywhere but English is everywhere, so I never had to think about that or worry.",,,,,
4,That's nice. Also why the red?,Why? What do you mean?,"Thank you. Yes I guess. I don't have another crazy standing out feature, I thought ""might as well dye my hair red"". But actually lately I've been thinking whether I should die it back to brown because although I like attention I start to notice that I like attention when I want it. And now it's like very easy to recognize me in the crowd and I want to go more incognito in the future.",,,,
4,It's very bold.,"Why did I dye my hair red. So I guess I like attention. I have been dying it since I was 14 and I just decided that my brown hair doesn't stand out much. I don't have any crazy prominent features so I was like ""I'll dye my hair red"". A lot of people in my family are either blond or red headed. So it kind of felt unfair that I got brown, you know, so I was like I'm gonna stand out.","Thank you. Yes I guess. I don't have another crazy standing out feature, I thought ""might as well dye my hair red"". But actually lately I've been thinking whether I should die it back to brown because although I like attention I start to notice that I like attention when I want it. And now it's like very easy to recognize me in the crowd and I want to go more incognito in the future.",,,,
4,"Yeah I went through a phase too, I had pink hair. What is your stance on legalizing weed?",My stance on legalizing weed. I think it should be legal because it doesn't have more harm than alcohol that's already legal. And I feel like when something is illegal that's actually more dangerous because the products sold are not verified.,,,,,
4,"So would you feel the same way about like meth, heroin, coke because technically those...?","I think before there's more research done to see the harms and potentials of the other drugs I can't take a stance, but of course depending on what the research results are I'm always willing to change my opinions. Although for me right now that sounds wrong because from what I know the other drugs that are stronger and not you know like plant based, smoking based, like they're very damaging. Yeah but it depends of course it depends.",,,,,
