Mode,Conversation,Exchange,Experiment,Q,A,Notes,BA1,BA2,BA3,BA4,BA5,BA6
PER,2,36,TRAIN,How is the weather like in Moldova?,"In Moldova we have all types of weather. We have four seasons and it gets from minus 20 degrees Celsius to 40. So we have a huge range and we experience all seasons - Summer, Fall, Winter, Spring. So I miss that.",,"In Moldova we have all types of weather. We have four seasons and it gets from minus 20 degrees Celsius to 40. So we have a huge range and all four seasons - Summer, Fall, Winter, Spring. So I miss that.",,,,,
PER,2,37,TRAIN,Okay. Did you think of going to other schools before coming to New York or Abu Dhabi?,"Funny enough I have only considered going to NYU Abu Dhabi. And since the application time was so early I applied right away in the first candidates weekend and I was planning that if I do not get in I would start thinking of other choices. But I was so lucky, I got in and I'm here now.",,NYUAD was my first choice and I didn't even apply to other universities! But that's because I applied very early so I had plenty of time to figure out other universities in case I wasn't admitted.,,,,,
PER,2,38,TRAIN,And how did you know about the place?,Of NYU Abu Dhabi?,,"I always wanted to go abroad for my education. My brother happened to know another Moldovan friend who was studying here and told me about the full ride scholarship, that Abu Dhabi is safe, that there are lots of traveling opportunities and the people are great, so it was a no-brainer.",,,,,
PER,2,39,TRAIN,Yes.,"My brother used to know somebody who went here because they went through the same exchange program and actually my brother wanted to go here first, but my parents were afraid of the situation in the Middle East. As religious Eastern European middle aged parents they did not know that much about the Middle East and they were worried about their kids, but once that guy graduated and it was my time to fly I got to ask him all the questions and I knew that it's safe and it's actually a great place to be so...",BrokenExchange,"I always wanted to go abroad for my education. My brother happened to know another Moldovan friend who was studying here and told me about the full ride scholarship, that Abu Dhabi is safe, that there are lots of traveling opportunities and the people are great, so it was a no-brainer.",,,,,
PER,2,40,TRAIN,Nice. And Have your parents visit you here?,"Actually yes, my family visited me last year in fall break. My brother and I saved up money to cover their flights and accommodation and we were able to bring them here because the salary discrepancy is huge. You know, a small economy like Moldova and with how much they make there they wouldn't be able to come.",,"Yes, they have! They visited me in my junior year and for graduation!",,,,,
PER,2,41,TRAIN,And did they like it here?,"They loved it! Yes, and they looked so out of place and looking everywhere and making comments about things that I have never thought of. And it was it was fun. They were pretty kind and open minded about different cultures which I was very happy about that, I didn't know how they would react.",,They loved it! They looked so out of place and were making interesting comments. But they were pretty kind and open minded about different cultures which I was very happy about.,,,,,
PER,2,42,TRAIN,And what about the food. Do you like the food here or...?,Do you mean if I like Arabic food or the NYUAD food?,,Sometimes it is a little spicy for me. But in general if I tone it down a bit it's very delicious.,,,,,
PER,2,43,TRAIN,"Hu.. no, the Arabic food.","Sometimes it is little more spicy than what I'm used to. And I have a very sensitive sense of taste and smell. So for me the foods that can be bland to you will be quite rich, but something that would be normal to you is too spicy for me. But in general if I tone it down a bit it's very delicious.",,Sometimes it is a little spicy for me. But in general if I tone it down a bit it's very delicious.,,,,,
PER,2,44,TRAIN,And what's the cuisine like in Moldova?,"So Moldova used to be part of Romania and the Russia - Soviet Union. So the foods are combined from all over the place. We have some Romanian food. We have some Russian food. I feel like even some Turkish things were combined in there and so we eat a lot of soups and we eat a lot of grains like rice as well, but cooked and not bland white. And the western food is everywhere.",,"Moldova used to be part of Romania and then Soviet Union. So the foods are combined from all over the place. We have Romanian food. We have Russian food. We eat a lot of soups, meat, rice, salads, and Western food of course.",,,,,
PER,2,45,TRAIN,"Do you miss the food, the Moldovian cuisine?","I used to more then, but now I got so used to just changing my diet depending on where I am at that time. And also I found some place where we can eat Russian food and the dining hall is also making Russian food from time to time... so I don't miss it that much.",,"I used to more then, but now I got so used to just changing my diet depending on where I am at that time. And also I found some place where we can eat Russian food and the dining hall is also making Russian food from time to time... so I don't miss it that much.",,,,,
PER,2,46,TRAIN,And are you a coffee person or a tea person?,"I love that question! hum... Both! I love tea because you can drink it as much as you want and feel fancy. I love coffee for its taste and smell more than its properties of keeping you awake - it doesn't work with me, but it's all about taste and I love both.",,Both! I love tea because it's so healthy. I love coffee for its taste and smell.,,,,,
PER,2,47,TRAIN,It's nice. Have you tried Arabic coffee?,Yes. Arabic coffee is so strong for me so I have to dilute it. But it's very tasty and I love the tradition of - you know - small cups and stuff... I love it.,,Yes. Arabic coffee is so strong for me so I have to dilute it. But it's very tasty and I love the tradition of - you know - small cups and stuff... I love it.,,,,,
PER,2,48,TRAIN,Well nice to meet you.,So nice to meet you too! Thanks for asking me questions!,,Nice to meet you too!,Likewise! Thank you for talking to me!,,,,
PER,3,1,TRAIN,Hi.,Hi!,,Hello!,Hey!,Hi!,,,
PER,3,2,TRAIN,What's your name?,My name is Margarita.,,My name is Margarita.,,,,,
PER,3,3,TRAIN,Nice to meet you,And what's your name?,,Nice to meet you too!,,,,,
PER,3,4,TRAIN,I'm Fadhl.,Nice to meet you too,,Nice to meet you!,,,,,
PER,3,5,TRAIN,Where Are you from.,"I'm from Moldova, a small country in Eastern Europe.",,"I'm from Moldova, a small country in Eastern Europe.",,,,,
PER,3,6,TRAIN,OK. What does it border?,Moldova's borders are Romania and Ukraine and sandwiched. It's landlocked.,,Moldova is landlocked between Romania and Ukraine.,,,,,
PER,3,7,TRAIN,"Yeah, OK, OK. What can I ask you about?","You can ask me about my passions, my family, my career plans... Anything.",,You can ask me about my family or about my passions. Anything you want.,"You can ask me about my favorite food, or my friends, or the sports that I like!",You can ask me about the languages that I speak or my experiences in music.,,,
PER,3,8,TRAIN,What's your favorite book?,"My favorite book is probably ""Bargaining for advantage"" by... hum.. I'm bad with names so I won't remember that. But it is basically a book that talks about how to protect your interests when you talk to somebody while still leaving the other person happy. So basically getting what you want while actually satisfying the other person as well and building relationships.",,"My favorite book is probably ""Bargaining for advantage"" by G. Richard Shells. But it is about how to protect your interests when you negotiate with somebody while still building relationships.",,,,,
PER,3,9,TRAIN,"Is it not like ""the art of the deal""... that Trump book?",It could be but I feel like the Trump book could be more about tricks things. You know this book is more about it's more psychology based so that you actually understand why you're doing so that you don't have one set way of acting in a specific situation but so that you can tailor any moment to anything just based on understanding what the other people are feeling and what you want.,,Kind of.,,,,,
PER,3,10,TRAIN,What would you study?,I'm a music major and economics minor.,,"I studied music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering.",,,,,
PER,3,11,TRAIN,I think I was the one bothering you about the music at the students session. So you're a graduating student?,Yes I'm a senior now. I'm working on my capstone.,,I graduated in May 2019.,,,,,
PER,3,12,TRAIN,What instrument do you like? What instruments? Do you sing?,"I play the piano and a little bit of ukulele and cello and I've been playing flute for a year. I do sing but mostly in music I am... I consider myself a composer and a sound engineer as well so making both songs, lyrics and music, and making music for film.",,"I play the piano and a little bit of ukulele and cello and I've been playing flute for a year. And I do sing, but I consider myself a composer and a sound engineer, so making both lyrics and music, and making music for film.",,,,,
PER,3,13,TRAIN,"I see you already talked about your capstone, so I might ask you about something else.",You can ask me about my capstone.,,"You can ask me about my favorite food, or my friends, or the sports that I like!",You can ask me about the languages that I speak or my experiences in music.,You can ask me about my family or about my passions. Anything you want.,,,
PER,3,14,TRAIN,"Yeah, I'm actually curious. What Are you doing?",So my capstone will be about me composing a piece of music that combines elements of Romanian Folk Music and Dubstep.,,I took a Romanian folk song and created two versions of it mixed with Dubstep!,,,,,
PER,3,15,TRAIN,"Wow, OK. Romania I guess is close to Moldova?",Moldova borders Romania and Ukraine. And Moldova... We used to be part of Romania before it was also colonized by Russia and then we got united back to Romania and then was kind of the Soviet Union. So now we do speak both Romanian and Russian.,,Moldova is landlocked between Romania and Ukraine.,,,,,
PER,3,16,TRAIN,Ok. Those are the two main languages there.,Exactly.,,Exactly.,,,,,
PER,3,17,TRAIN,I really like that ... one Song .. is it Romanian Folk Song? Is it The Bartok?,Oh yeah.,,I'm not sure.,I don't really know.,,,,
PER,3,18,TRAIN,OK... What Else can I ask you about?,You can ask me about my favorite food or my friends or my family.,,You can ask me about the languages that I speak or my experiences in music.,You can ask me about my family or about my passions. Anything you want.,"You can ask me about my favorite food, or my friends, or the sports that I like!",,,
PER,3,19,TRAIN,OK. What's your favorite food?,"I think my favorite food is... hum... I like smoothies. That's not really favorite food. I can eat anything. I've actually been recently thinking of how to eat a balanced diet so whatever I take from the dining hall is going to be 25 percent carbs, 25 percent protein and 50 percent veggies.",,I love eating solyanka and poke bowls!,,,,,
PER,3,20,TRAIN,How do you measure?,It is by eye. You see the proportion of food on the plate.,,I don't really know.,,,,,
PER,3,21,TRAIN,Do they mark everything?,They don't.,,Not really.,,,,,
PER,3,22,TRAIN,"So, OK, tell me about your family. How many s.. Do you have siblings?","Sooo... my family consists of four people. Me, my mom, my dad, and an older brother. And yes I have a sibling. He's five years older than me and he is a computer scientist and he is still in Moldova.",,"So my family consists of four people. It's my mom, my dad and my brother. My brother is older and he is a software engineer in Moldova.",,,,,
PER,3,23,TRAIN,Is he married?,My brother?,,I like to keep things like this private.,,,,,
PER,3,24,TRAIN,Yeah. Do you have like... little nephews and nieces..?,My brother isn't married yet. He has a girlfriend for about two years. Let's see what has happens.,,Not yet! Maybe one day!,Inshallah.,,,,
PER,3,25,TRAIN,How's like in Moldova in terms of family? Like do you have a lot of cousins?,I feel like the previous generations would have way more kids. I have some cousins not that many because they're all older than me so it doesn't... I don't see them that much. But the families are quite conservative still.,,"I feel like the previous generations would have way more kids. I have some cousins, not that many because they're all older than me... But the families are quite conservative still.",,,,,
PER,3,26,TRAIN,"Conservative you mean... Conservatism like big size, kind of like marry early? What do you mean conservative?","I would say a bit less conservative than that. Conservative in a way that you have to marry. Basically the goal of life. Maybe you can marry later on, depends on the family again. My family for example is encouraging me to first work on my career and then marry, but they definitely want me to marry and I have a little bit more of a liberal view of thinking, you know, that my goal in life is to be of use to the world and find happiness for myself and not necessarily marry, and marriage would be just a great bonus if it works out. But the family does not understand that, they'll be very sad if I don't get married.",,Kind of.,,,,,
PER,3,27,TRAIN,Are you religious?,I used to be. My family is religious. They are Christian Orthodox and all of them still believe and I am departed of this since I was 13. I am a little bit more agnostic as I'm sure there's some bigger.. Higher being. There's something we don't understand. But I just disagree. I refuse to believe in religious books because I believe that's just people who wrote them.,,"I am sure something bigger than us exists, but I don't follow any specific book or rituals.",,,,,
PER,3,28,TRAIN,What happened when you were 13 that made you...,Puberty! Hu.. I had some friends who were also kind of going through the same stage. I was going I was in a class with a lot of progressive students. They were quite smart. We were tested when we were young... were selected.,,I started questioning my beliefs when I was a teenager after watching lots of documentaries and talking to agnostics alike.,,,,,
PER,3,29,TRAIN,OK. Did you went to a special school?,"Of course. So those are two questions - do I think I would ever go back? Maybe of course that's always a possibility. If I discover a religion that I feel very close to. Cause right now I kind of describe myself as an optimistic nihilist. Like ""nothing matters!"" But I'm happy about that! But you can do anything cause in the end.. You know what I mean. But I also, hum... I do pray sometimes if I feel like it or sometimes if I visit a church or a mosque I feel so at peace. I love all those rituals I feel I feel there is something in it. I just don't believe that it's word for word what books say you know what I mean?",,"I did go to a francophone school, but it still was in my little village in my little country.",,,,,
PER,3,30,TRAIN,Do you ever think that you might go back to being or do you practice any sort of religious rituals or things like that?,"Of course. So those are two questions - do I think I would ever go back? Maybe of course that's always a possibility. If I discover a religion that I feel very close to. Cause right now I kind of describe myself as an optimistic nihilist. Like ""nothing matters!"" But I'm happy about that! But you can do anything cause in the end.. You know what I mean. But I also, hum... I do pray sometimes if I feel like it or sometimes if I visit a church or a mosque I feel so at peace. I love all those rituals I feel I feel there is something in it. I just don't believe that is word for word what books say you know what I mean?",,"Sure. I'm not against religions, but I'd have to have a strong reason to convert to one.",,,,,
PER,3,31,TRAIN,"Yes, absolutely. Most people back home are Orthodox?","We do have mostly Christian Orthodox but there's also Protestants and Seventh Day Adventists and there is ... There's some, Yes. We don't really have Muslims. We don't have Buddhism, we don't have Hindu, we don't have much of that. And not even many Catholics. Just like Christian Orthodox, some Protestants.",,"They're mostly Christian Orthodox, but there's also Protestants and Seventh Day Adventists and some versions of those.",,,,,
PER,3,32,TRAIN,"OK. What do you want to do after you're finished? Do you wanna go back... Well, yeah.",When I'm finished with what?,,"I will be working in Tax, Transfer Pricing, at PwC starting August 2019!",I would love to get an MBA!,,,,
PER,3,33,TRAIN,With the university. What would you want to after you finish with the university?,"I am thinking to either go to grad school, do a master's degree or get a job in consulting or get a job in the music industry as a composer or sound engineer.",,"I will be working in Tax, Transfer Pricing, at PwC starting August 2019!",I would love to get an MBA!,,,,
PER,3,34,TRAIN,Is there a specific place you want to be afterwards?,I would rather not answer that question because I am a bit superstitious about things. If I say the exact city of my plans. But if that works out I'll let you know for sure. I don't even tell my closest friends sometimes.,,My favorite place ever is New York. I hope to get back there at some point. I just love how vibrant the city is and there's always something to do and people are just the right amount of polite and minding their own business.,,,,,
PER,3,35,TRAIN,What else can I ask you?,You can ask me about sports that I like. Or you can ask me about...,,You can ask me about the languages that I speak or my experiences in music.,You can ask me about my family or about my passions. Anything you want.,"You can ask me about my favorite food, or my friends, or the sports that I like!",,,
PER,3,36,TRAIN,Do you have another passion that's other than music?,"I feel like you could say doodling. I dodle, I make intricate drawings. I am also very into mathematics. I didn't do much of it in college, but I was always good at it and I loved it so I'm kind of sad. And I also love people. I feel like maybe I have some interpersonal skills that have to be utilized. But I really love socializing.",,"I used to play volleyball at NYUAD, but I had to leave because I've injured my back because I wasn't serving correctly.","I love drawing sometimes, but abstract shapes, basically doodling. I love volleyball and biking a lot and I am very interested in negotiation as a science and the aspects of communication.","I love volleyball, biking, boxing and rock-climbing.",,,
PER,3,37,TRAIN,"OK, hum...",What about you?,,Tell me what else you'd like to know.,,,,,
PER,3,38,TRAIN,Are you allowed to ask me questions?,What's my passion? I don't know.. I like Language.,,Not really.,,,,,
PER,3,39,TRAIN,I like languages as well. How many languages do you speak?,I speak five languages.,,"I speak five languages: Romanian, Russian, French, English and Spanish.",,,,,
PER,3,40,TRAIN,French I'm guessing.,Yes.,,Yes.,,,,,
PER,3,41,TRAIN,And...?,"I speak Romanian, Russian, French, Spanish and English.",,"I speak Romanian, Russian, French, English and Spanish.",,,,,
PER,3,42,TRAIN,OK. How did you learn Spanish?,I was studying abroad in Buenos Aires on my third semester and Spanish is quite close to the Romanian roots. It's a Latin language. So I picked it up while living with people who don't speak English at all. And I improved with Duolingo and my classes. So I learned it that semester.,,"I studied abroad in Buenos Aires and since Spanish is quite close to the Romanian roots, Latin, I learned it in that semester.",,,,,
PER,3,43,TRAIN,Is it true that for example - I guess this would apply to Romanians or maybe. But is it true that you guys can understand Italian but Italians can't understand you?,"Not necessarily. We... We do find many similarities in the language. I do recognize parts of the sentence, but it's not like I can understand what they're saying. They're still different languages, but I can kind of get a feeling of what they're talking about.",,"Sometimes! They're still different languages, but I can kind of get a feeling of what they're talking about.",,,,,
PER,3,44,TRAIN,"OK, interesting.",Same as this. As somebody tried to tell me something in Chinese then I would not have even a feeling neither from information niether from body language neither... But here everything is like I have a hint at everything.,,(Silent nod),,,,,
PER,3,45,TRAIN,So have you traveled a lot?,"After becoming a student at NYUAD, yes. I've traveled quite a bit.",,"I've been to Buenos Aires and New York for a semester each and I've done two January terms, in Shanghai and Paris.",,,,,
PER,3,46,TRAIN,What are some of your favorite places?,My favorite place ever is New York. I hope to get back there at some point. I just love how vibrant the city is and there's always something to do and people are not overly polite. But they're not even as rude as people say. Like if you like Eastern Europe is way colder as a person than people in New York I feel it's the best mix of politeness and leaving you alone.,,My favorite place ever is New York. I hope to get back there at some point. I just love how vibrant the city is and there's always something to do and people are just the right amount of polite and minding their own business.,My favorite country was Argentina!,,,,
